A;owner;project_name;days_until_stale;days_until_close;stale_label
4;PowerShell;xWordPress; 14; 40; abandoned
7;paulcbetts;splat; 60; 7; waiting
3;paulcbetts;splat; 60; 7; waiting
4;nginx-shib;shibboleth-fastcgi; 60; 7;
6;nginx-shib;shibboleth-fastcgi; 60; 7;
6;khbrst;khbrst.github.io; 30; 7;
4;khbrst;khbrst.github.io; 30; 7;
8;khbrst;khbrst.github.io; 30; 7;
9;khbrst;khbrst.github.io; 30; 7;
6;khbrst;khbrst.github.io; 30; 7;
3;khbrst;khbrst.github.io; 30; 7;
0;khbrst;khbrst.github.io; 30; 7;
5;khbrst;khbrst.github.io; 30; 7;
2;khbrst;khbrst.github.io; 30; 7;
9;khbrst;khbrst.github.io; 30; 7;
6;khbrst;khbrst.github.io; 30; 7;
8;khbrst;khbrst.github.io; 30; 7;
3;khbrst;khbrst.github.io;;;
3;khbrst;khbrst.github.io; 30; 7;
9;khbrst;khbrst.github.io; 30; 7;
5;khbrst;khbrst.github.io; 30; 7;
0;jeffreydwalter;arlo; 31; 14; stale
9;storybooks;react-storybook; 45; 45; inactive
2;storybooks;react-storybook; 55; 5; inactive
8;storybooks;react-storybook; 85; 5; inactive
0;storybooks;react-storybook; 85; 5; inactive
2;storybooks;react-storybook; 85; 5; inactive
2;storybooks;react-storybook; 85; 5; inactive
8;storybooks;react-storybook; 85; 5; inactive
4;storybooks;react-storybook; 85; 5; inactive
6;storybooks;react-storybook; 85; 5; inactive
7;storybooks;react-storybook; 85; 5; inactive
0;storybooks;react-storybook; 85; 5; inactive
3;storybooks;react-storybook; 85; 5; inactive
5;storybooks;react-storybook; 88; 2; inactive
3;storybooks;react-storybook; 88; 2; inactive
7;storybooks;react-storybook; 45; 15; inactive
8;storybooks;react-storybook; 45; 15; inactive
5;storybooks;react-storybook; 45; 15; inactive
3;storybooks;react-storybook; 45; 15; inactive
5;storybooks;react-storybook; 45; 15; inactive
2;storybooks;react-storybook; 45; 15; inactive
7;storybooks;react-storybook; 45; 15; inactive
9;storybooks;react-storybook; 45; 15; inactive
7;storybooks;react-storybook; 45; 15; inactive
5;storybooks;react-storybook; 45; 15; inactive
9;storybooks;react-storybook; 45; 15; inactive
8;storybooks;react-storybook; 45; 15; inactive
2;storybooks;react-storybook; 45; 15; inactive
5;storybooks;react-storybook; 45; 15; inactive
4;storybooks;react-storybook; 45; 15; inactive
0;storybooks;react-storybook; 45; 15; inactive
9;storybooks;react-storybook; 45; 15; inactive
8;storybooks;react-storybook; 45; 15; inactive
8;storybooks;react-storybook; 45; 15; inactive
9;storybooks;react-storybook; 45; 15; inactive
5;storybooks;react-storybook; 45; 15; inactive
4;storybooks;react-storybook; 45; 15; inactive
7;storybooks;react-storybook; 45; 15; inactive
7;storybooks;react-storybook; 45; 15; inactive
9;storybooks;react-storybook; 45; 15; inactive
5;storybooks;react-storybook; 45; 15; inactive
9;storybooks;react-storybook; 45; 15; inactive
0;storybooks;react-storybook; 45; 15; inactive
7;storybooks;react-storybook; 45; 15; inactive
7;storybooks;react-storybook; 45; 15; inactive
9;storybooks;react-storybook; 45; 15; inactive
4;storybooks;react-storybook; 45; 15; inactive
9;storybooks;react-storybook; 45; 15; inactive
5;storybooks;react-storybook; 45; 15; inactive
3;storybooks;react-storybook; 45; 15; inactive
6;storybooks;react-storybook; 21; 30; inactive
3;storybooks;react-storybook; 21; 30; inactive
3;storybooks;react-storybook; 21; 30; inactive
6;storybooks;react-storybook; 21; 30; inactive
6;storybooks;react-storybook; 21; 30; inactive
8;storybooks;react-storybook; 21; 30; inactive
0;storybooks;react-storybook; 21; 30; inactive
2;storybooks;react-storybook; 21; 30; inactive
7;storybooks;react-storybook; 21; 30; inactive
6;storybooks;react-storybook; 21; 30; inactive
5;storybooks;react-storybook; 21; 30; inactive
8;storybooks;react-storybook; 21; 30; inactive
0;storybooks;react-storybook; 21; 30; inactive
0;storybooks;react-storybook; 21; 30; inactive
2;storybooks;react-storybook; 21; 30; inactive
9;storybooks;react-storybook; 21; 30; inactive
3;storybooks;react-storybook; 21; 30; inactive
7;storybooks;react-storybook; 21; 30; inactive
3;storybooks;react-storybook; 21; 30; inactive
7;storybooks;react-storybook; 21; 30; inactive
0;storybooks;react-storybook; 21; 30; inactive
0;storybooks;react-storybook; 21; 30; inactive
2;storybooks;react-storybook; 21; 30; inactive
8;PeptoneInc;dspp-keras; 60; 7; wontfix
5;PowerShell;xPowerShellExecutionPolicy; 14; 40; abandoned
6;csirtgadgets;bearded-avenger-deploymentkit; 45; 7; wontfix
6;csirtgadgets;bearded-avenger-deploymentkit; 45; 7; wontfix
5;stnava;ANTs; 60; 7; wontfix
5;stnava;ANTs; 60; 7; stale
1;stnava;ANTs; 60; 7; stale
5;schacon;ruby-git; 60; 7; wontfix
4;AjuntamentdeBarcelona;decidim; 60; 7;
7;AjuntamentdeBarcelona;decidim; 60; 7;
2;AjuntamentdeBarcelona;decidim; 60; 7;
8;fjmorant;react-native-nested-listview; 60; 7; wontfix
9;wso2;carbon-device-mgt-plugins; 10; 5; Resolution
8;wso2;carbon-device-mgt-plugins; 10; 5; Resolution
0;wso2;carbon-device-mgt-plugins; 10; 5; Resolution
8;wso2;carbon-device-mgt-plugins; 10; 5; Resolution
9;wso2;carbon-device-mgt-plugins; 10;; Resolution
0;wso2;carbon-device-mgt-plugins; 10;; Resolution
9;pfnet;chainer; 90; 30; stale
8;pfnet;chainer; 90; 30; stale
8;pfnet;chainer; 90; 30; stale
9;pfnet;chainer; 90; 30; stale
9;pfnet;chainer; 90; 30; stale
6;pfnet;chainer; 90; 30; stale
4;pfnet;chainer; 90; 30; stale
8;pfnet;chainer; 90; 30; stale
1;pfnet;chainer; 90; 30; stale
6;pfnet;chainer; 90; 30; stale
9;pfnet;chainer; 90; 30; stale
4;pfnet;chainer; 90; 30; stale
4;pfnet;chainer; 90; 30; stale
6;pfnet;chainer; 90; 30; stale
1;pfnet;chainer; 90; 30; stale
9;pfnet;chainer; 90; 30; stale
9;pfnet;chainer; 90; 30; stale
3;pfnet;chainer; 90; 30; stale
