A;owner;project_name;exempt_labels
6;PowerShell;xWordPress;['needs review', 'on hold', 'waiting for CLA pass', 'bug', 'enhancement', 'tests', 'documentation', 'resource proposal', 'on hold']
8;paulcbetts;splat;['up-for-grabs', 'starters', 'bug', 'cla-signed', 'cla-already-signed', 'proposal', 'contributor-experience', 'developer-experience']
3;paulcbetts;splat;['up-for-grabs', 'starters', 'bug', 'cla-signed', 'cla-already-signed', 'proposal', 'contributor-experience', 'developer-experience']
4;nginx-shib;shibboleth-fastcgi;
6;nginx-shib;shibboleth-fastcgi;
1;khbrst;khbrst.github.io;['pinned', 'security']
6;khbrst;khbrst.github.io;['pinned', 'security']
7;khbrst;khbrst.github.io;
9;khbrst;khbrst.github.io;
7;khbrst;khbrst.github.io;
0;khbrst;khbrst.github.io;
7;khbrst;khbrst.github.io;
7;khbrst;khbrst.github.io;
5;khbrst;khbrst.github.io;
3;khbrst;khbrst.github.io;
8;khbrst;khbrst.github.io;
8;khbrst;khbrst.github.io;
3;khbrst;khbrst.github.io;
1;khbrst;khbrst.github.io;
1;khbrst;khbrst.github.io;
4;khbrst;khbrst.github.io;
9;jeffreydwalter;arlo;['enhancement', 'help wanted', 'in progress', 'under investigation']
7;storybooks;react-storybook;['bug']
6;storybooks;react-storybook;['bug']
2;storybooks;react-storybook;['bug']
9;storybooks;react-storybook;['bug']
8;storybooks;react-storybook;['bug']
1;storybooks;react-storybook;['bug']
2;storybooks;react-storybook;['bug']
3;storybooks;react-storybook;['bug']
8;storybooks;react-storybook;['bug']
2;storybooks;react-storybook;['bug']
8;storybooks;react-storybook;['bug']
2;storybooks;react-storybook;['bug']
6;storybooks;react-storybook;['bug']
6;storybooks;react-storybook;['bug']
1;storybooks;react-storybook;['bug']
6;storybooks;react-storybook;['bug']
6;storybooks;react-storybook;['bug']
0;storybooks;react-storybook;['bug']
8;storybooks;react-storybook;['bug']
8;storybooks;react-storybook;['bug']
3;storybooks;react-storybook;['bug']
4;storybooks;react-storybook;['todo', 'ready']
9;storybooks;react-storybook;['todo', 'ready']
3;storybooks;react-storybook;['todo', 'ready']
5;storybooks;react-storybook;['todo', 'ready']
1;storybooks;react-storybook;['bug']
7;storybooks;react-storybook;['todo', 'ready']
5;storybooks;react-storybook;['todo', 'ready']
0;storybooks;react-storybook;['todo', 'ready']
0;storybooks;react-storybook;['todo', 'ready']
4;storybooks;react-storybook;['todo', 'ready']
6;storybooks;react-storybook;['todo', 'ready']
9;storybooks;react-storybook;['todo', 'ready']
0;storybooks;react-storybook;['todo', 'ready']
3;storybooks;react-storybook;['todo', 'ready']
4;storybooks;react-storybook;['todo', 'ready']
9;storybooks;react-storybook;['todo', 'ready']
8;storybooks;react-storybook;['todo', 'ready']
7;storybooks;react-storybook;['todo', 'ready']
6;storybooks;react-storybook;['todo', 'ready']
3;storybooks;react-storybook;['todo', 'ready']
3;storybooks;react-storybook;['todo', 'ready']
9;storybooks;react-storybook;['todo', 'ready']
6;storybooks;react-storybook;['todo', 'ready']
9;storybooks;react-storybook;['todo', 'ready']
4;storybooks;react-storybook;['todo', 'ready']
8;storybooks;react-storybook;['todo', 'ready']
1;storybooks;react-storybook;['todo', 'ready']
7;storybooks;react-storybook;['todo', 'ready']
2;storybooks;react-storybook;['todo', 'ready']
2;storybooks;react-storybook;['todo', 'ready']
7;storybooks;react-storybook;['todo', 'ready']
3;storybooks;react-storybook;['todo', 'ready']
5;storybooks;react-storybook;['todo', 'ready']
7;storybooks;react-storybook;['todo', 'ready']
9;storybooks;react-storybook;['todo', 'ready']
6;storybooks;react-storybook;['todo', 'ready']
7;storybooks;react-storybook;['todo', 'ready']
3;storybooks;react-storybook;['todo', 'ready']
0;storybooks;react-storybook;['todo', 'ready']
8;storybooks;react-storybook;['todo', 'ready']
6;storybooks;react-storybook;['todo', 'ready']
2;storybooks;react-storybook;['todo', 'ready']
0;storybooks;react-storybook;['todo', 'ready']
1;storybooks;react-storybook;['todo', 'ready']
7;storybooks;react-storybook;['todo', 'ready']
6;storybooks;react-storybook;['todo', 'ready']
6;storybooks;react-storybook;['todo', 'ready']
4;storybooks;react-storybook;['todo', 'ready']
9;storybooks;react-storybook;['todo', 'ready']
6;storybooks;react-storybook;['todo', 'ready']
7;storybooks;react-storybook;['todo', 'ready']
1;PeptoneInc;dspp-keras;['pinned', 'security']
5;PowerShell;xPowerShellExecutionPolicy;['needs review', 'on hold', 'waiting for CLA pass', 'bug', 'enhancement', 'tests', 'documentation', 'resource proposal', 'on hold']
1;csirtgadgets;bearded-avenger-deploymentkit;['pinned', 'security']
0;csirtgadgets;bearded-avenger-deploymentkit;['pinned', 'security']
2;stnava;ANTs;['pinned', 'security']
6;stnava;ANTs;['pinned', 'security']
8;stnava;ANTs;['pinned', 'security']
2;schacon;ruby-git;['pinned', 'security']
7;AjuntamentdeBarcelona;decidim;['Epic']
5;AjuntamentdeBarcelona;decidim;['Epic']
4;AjuntamentdeBarcelona;decidim;['Epic']
9;fjmorant;react-native-nested-listview;['pinned', 'security']
0;wso2;carbon-device-mgt-plugins;['in progress']
2;wso2;carbon-device-mgt-plugins;['in progress']
9;wso2;carbon-device-mgt-plugins;
8;wso2;carbon-device-mgt-plugins;
0;wso2;carbon-device-mgt-plugins;
9;wso2;carbon-device-mgt-plugins;
8;pfnet;chainer;['bug']
4;pfnet;chainer;['bug']
6;pfnet;chainer;['bug']
4;pfnet;chainer;['bug']
5;pfnet;chainer;['bug']
1;pfnet;chainer;['bug']
9;pfnet;chainer;['bug']
5;pfnet;chainer;['bug']
9;pfnet;chainer;['bug']
0;pfnet;chainer;['bug']
9;pfnet;chainer;['bug']
3;pfnet;chainer;['bug']
5;pfnet;chainer;['bug']
0;pfnet;chainer;['bug']
8;pfnet;chainer;['bug']
8;pfnet;chainer;['bug']
1;pfnet;chainer;['bug']
9;pfnet;chainer;['bug']
6;pfnet;chainer;['bug']
6;pfnet;chainer;['bug']
3;pfnet;chainer;['bug']
2;pfnet;chainer;['roadmap', 'bug']
4;pfnet;chainer;['roadmap', 'bug']
7;pfnet;chainer;['roadmap', 'bug']
2;pfnet;chainer;['roadmap', 'bug']
6;pfnet;chainer;['roadmap', 'bug']
5;pfnet;chainer;['roadmap', 'bug']
0;pfnet;chainer;['roadmap', 'bug']
1;pfnet;chainer;['roadmap', 'bug']
4;pfnet;chainer;['roadmap', 'bug']
1;pfnet;chainer;['roadmap', 'bug']
3;pfnet;chainer;['roadmap', 'bug']
1;pfnet;chainer;['roadmap', 'bug']
3;pfnet;chainer;['roadmap', 'bug']
4;pfnet;chainer;['roadmap', 'bug']
6;pfnet;chainer;['roadmap', 'bug']
1;pfnet;chainer;['roadmap', 'bug']
0;pfnet;chainer;['roadmap', 'bug']
4;DemonWav;MinecraftDevIntelliJ;
3;DemonWav;MinecraftDevIntelliJ;
2;DemonWav;MinecraftDevIntelliJ;
3;DemonWav;MinecraftDevIntelliJ;
5;DemonWav;MinecraftDevIntelliJ;
9;DemonWav;MinecraftDevIntelliJ;
8;DemonWav;MinecraftDevIntelliJ;
1;mmistakes;minimal-mistakes;['pinned', 'security']
2;mmistakes;minimal-mistakes;['pinned', 'security']
5;mmistakes;minimal-mistakes;
8;mmistakes;minimal-mistakes;
7;mmistakes;minimal-mistakes;
2;mmistakes;minimal-mistakes;
7;mmistakes;minimal-mistakes;
4;mmistakes;minimal-mistakes;
