"owner","name","stars","forks"
"PowerShell","xWordPress",3,9
"paulcbetts","splat",627,114
"nginx-shib","shibboleth-fastcgi",8,6
"khbrst","khbrst.github.io",0,0
"jeffreydwalter","arlo",261,70
"storybooks","react-storybook",34889,2698
"PeptoneInc","dspp-keras",145,18
"PowerShell","xPowerShellExecutionPolicy",7,7
"csirtgadgets","bearded-avenger-deploymentkit",44,16
"stnava","ANTs",356,201
"schacon","ruby-git",1375,423
"AjuntamentdeBarcelona","decidim",437,126
"fjmorant","react-native-nested-listview",37,12
"wso2","carbon-device-mgt-plugins",8,101
"pfnet","chainer",4633,1229
"DemonWav","MinecraftDevIntelliJ",323,46
"mmistakes","minimal-mistakes",4812,8338
"LinioIT","mail",4,1
"WaterfallMC","Waterfall",181,86
"rematch","rematch",5077,230
"mrBussy","mrbussy.github.io",0,0
"exercism","xpython",503,468
"gdavila","gdavila.github.io",0,0
"mattstratton","probablyfine",1,1
"tekezo","Karabiner-Elements",8075,513
"Sylius","Sylius",5068,1514
"Aceheliflyer","AceBot",10,6
"Blizzard","node-rdkafka",1014,195
"zsdonghao","tensorlayer",27,6
"BenEmdon","CenteredCollectionView",615,51
"benbalter","wordpress-to-jekyll-exporter",855,110
"github","linguist",6525,2382
"phpmyadmin","sql-parser",171,52
"npds","npds_dune",2,5
"PlagueHO","ciSCSI",4,4
"galetahub","ckeditor",2006,835
"atom","sort-lines",159,53
"gorilla","feeds",367,77
"svemaraju","svemaraju.github.io",0,0
"idehub","react-native-google-analytics-bridge",1144,235
"LinioIT","database",9,5
"ssbc","emoji-server",4,1
"db-migrate","node-db-migrate",1592,280
"PowerShell","xHyper-V",71,62
"Ikulagin","ikulagin.github.io",0,0
"benbalter","jekyll-avatar",42,5
"openatx","uiautomator2",909,287
"apache","beam",2618,1624
"lc-soft","LCUI",2423,194
"mikedeboer","node-github",3141,680
"exercism","xdelphi",15,17
"LesliePajuelo","LesliePajuelo.github.io",0,0
"PyGithub","PyGithub",2425,819
"Vel0x","vel0x.github.io",0,2
"Homebrew","homebrew-bundle",2355,135
"PowerShell","xRobocopy",44,13
"babel","babel-preset-env",3531,195
"SVProgressHUD","SVProgressHUD",11516,2288
"ssbc","ssb-search",1,1
"ocadotechnology","aimmo",62,43
"Laravel-Backpack","base",726,211
"auth0-extensions","auth0-user-invite-extension",1,4
"crewjam","saml",249,128
"ssbc","ssb-names",2,4
"prebid","Prebid.js",777,884
"PowerShell","DscResources",618,162
"feross","standard",20615,1551
"imolorhe","altair",992,47
"AdmiringWorm","Faker.NET.Portable",20,11
"basecamp","trix",13212,603
"probot","stale",643,112
"ssbc","ssb-testnet",2,1
"moonlight-stream","moonlight-android",802,194
"lesserwhirls","lesserwhirls.github.io",0,0
"SpoonX","wetland",252,23
"MyEtherWallet","MyEtherWallet",236,138
"pages-themes","hacker",197,321
"obiba","agate",2,6
"Homebrew","brew",16648,3704
"DanSnow","vue-recaptcha",394,50
"phpmyadmin","shapefile",11,7
"webtorrent","webtorrent",18873,1812
"wireload","screenly-ose",725,352
"maliceio","malice",782,134
"hakanensari","vacuum",472,66
"wordpress-mobile","WordPress-iOS",2542,855
