PowerShell/xWordPress,https://github.com/PowerShell/xWordPress.git,PowerShell,xWordPress
paulcbetts/splat,https://github.com/paulcbetts/splat.git,paulcbetts,splat
nginx-shib/shibboleth-fastcgi,https://github.com/nginx-shib/shibboleth-fastcgi.git,nginx-shib,shibboleth-fastcgi
Atvaark/insomnia,https://github.com/Atvaark/insomnia.git,Atvaark,insomnia
Wufe/react-particles-js,https://github.com/Wufe/react-particles-js.git,Wufe,react-particles-js
cptdeka10/tldr,https://github.com/cptdeka10/tldr.git,cptdeka10,tldr
manishbisht/phpmyadmin,https://github.com/manishbisht/phpmyadmin.git,manishbisht,phpmyadmin
siad007/phing,https://github.com/siad007/phing.git,siad007,phing
khbrst/khbrst.github.io,https://github.com/khbrst/khbrst.github.io.git,khbrst,khbrst.github.io
NeverResponse/Sylius,https://github.com/NeverResponse/Sylius.git,NeverResponse,Sylius
natrolite/natrolite,https://github.com/natrolite/natrolite.git,natrolite,natrolite
AllanYangZhou/oppia,https://github.com/AllanYangZhou/oppia.git,AllanYangZhou,oppia
jeffreydwalter/arlo,https://github.com/jeffreydwalter/arlo.git,jeffreydwalter,arlo
storybooks/react-storybook,https://github.com/storybooks/react-storybook.git,storybooks,react-storybook
rezoo/chainer,https://github.com/rezoo/chainer.git,rezoo,chainer
PeptoneInc/dspp-keras,https://github.com/PeptoneInc/dspp-keras.git,PeptoneInc,dspp-keras
PowerShell/xPowerShellExecutionPolicy,https://github.com/PowerShell/xPowerShellExecutionPolicy.git,PowerShell,xPowerShellExecutionPolicy
csirtgadgets/bearded-avenger-deploymentkit,https://github.com/csirtgadgets/bearded-avenger-deploymentkit.git,csirtgadgets,bearded-avenger-deploymentkit
stnava/ANTs,https://github.com/stnava/ANTs.git,stnava,ANTs
schacon/ruby-git,https://github.com/schacon/ruby-git.git,schacon,ruby-git
AjuntamentdeBarcelona/decidim,https://github.com/AjuntamentdeBarcelona/decidim.git,AjuntamentdeBarcelona,decidim
fjmorant/react-native-nested-listview,https://github.com/fjmorant/react-native-nested-listview.git,fjmorant,react-native-nested-listview
deraru/rails,https://github.com/deraru/rails.git,deraru,rails
wso2/carbon-device-mgt-plugins,https://github.com/wso2/carbon-device-mgt-plugins.git,wso2,carbon-device-mgt-plugins
N-Parsons/exercism-python,https://github.com/N-Parsons/exercism-python.git,N-Parsons,exercism-python
pfnet/chainer,https://github.com/pfnet/chainer.git,pfnet,chainer
minwoo-jung/pinpoint,https://github.com/minwoo-jung/pinpoint.git,minwoo-jung,pinpoint
DemonWav/MinecraftDevIntelliJ,https://github.com/DemonWav/MinecraftDevIntelliJ.git,DemonWav,MinecraftDevIntelliJ
inDream/sequelize,https://github.com/inDream/sequelize.git,inDream,sequelize
mmistakes/minimal-mistakes,https://github.com/mmistakes/minimal-mistakes.git,mmistakes,minimal-mistakes
rkorn86/cas,https://github.com/rkorn86/cas.git,rkorn86,cas
Magnetic/luigi,https://github.com/Magnetic/luigi.git,Magnetic,luigi
LinioIT/mail,https://github.com/LinioIT/mail.git,LinioIT,mail
assain/rails,https://github.com/assain/rails.git,assain,rails
jantimon/html-webpack-plugin,https://github.com/jantimon/html-webpack-plugin.git,jantimon,html-webpack-plugin
WaterfallMC/Waterfall,https://github.com/WaterfallMC/Waterfall.git,WaterfallMC,Waterfall
rematch/rematch,https://github.com/rematch/rematch.git,rematch,rematch
rickbeerendonk/react-native,https://github.com/rickbeerendonk/react-native.git,rickbeerendonk,react-native
mfikes/homebrew-core,https://github.com/mfikes/homebrew-core.git,mfikes,homebrew-core
pliablepixels/ZoneMinder,https://github.com/pliablepixels/ZoneMinder.git,pliablepixels,ZoneMinder
mrBussy/mrbussy.github.io,https://github.com/mrBussy/mrbussy.github.io.git,mrBussy,mrbussy.github.io
exercism/xpython,https://github.com/exercism/xpython.git,exercism,xpython
Jens-G/thrift,https://github.com/Jens-G/thrift.git,Jens-G,thrift
gdavila/gdavila.github.io,https://github.com/gdavila/gdavila.github.io.git,gdavila,gdavila.github.io
mattstratton/probablyfine,https://github.com/mattstratton/probablyfine.git,mattstratton,probablyfine
bgelens/xHyper-V,https://github.com/bgelens/xHyper-V.git,bgelens,xHyper-V
tekezo/Karabiner-Elements,https://github.com/tekezo/Karabiner-Elements.git,tekezo,Karabiner-Elements
Sylius/Sylius,https://github.com/Sylius/Sylius.git,Sylius,Sylius
charithag/product-device-cloud,https://github.com/charithag/product-device-cloud.git,charithag,product-device-cloud
Aceheliflyer/AceBot,https://github.com/Aceheliflyer/AceBot.git,Aceheliflyer,AceBot
Blizzard/node-rdkafka,https://github.com/Blizzard/node-rdkafka.git,Blizzard,node-rdkafka
DotJoshJohnson/vscode-xml,https://github.com/DotJoshJohnson/vscode-xml.git,DotJoshJohnson,vscode-xml
zsdonghao/tensorlayer,https://github.com/zsdonghao/tensorlayer.git,zsdonghao,tensorlayer
BenEmdon/CenteredCollectionView,https://github.com/BenEmdon/CenteredCollectionView.git,BenEmdon,CenteredCollectionView
benbalter/wordpress-to-jekyll-exporter,https://github.com/benbalter/wordpress-to-jekyll-exporter.git,benbalter,wordpress-to-jekyll-exporter
github/linguist,https://github.com/github/linguist.git,github,linguist
phpmyadmin/sql-parser,https://github.com/phpmyadmin/sql-parser.git,phpmyadmin,sql-parser
npds/npds_dune,https://github.com/npds/npds_dune.git,npds,npds_dune
PlagueHO/ciSCSI,https://github.com/PlagueHO/ciSCSI.git,PlagueHO,ciSCSI
galetahub/ckeditor,https://github.com/galetahub/ckeditor.git,galetahub,ckeditor
charithag/product-iot-server,https://github.com/charithag/product-iot-server.git,charithag,product-iot-server
kddeisz/rails,https://github.com/kddeisz/rails.git,kddeisz,rails
brettle/atom,https://github.com/brettle/atom.git,brettle,atom
atom/sort-lines,https://github.com/atom/sort-lines.git,atom,sort-lines
gorilla/feeds,https://github.com/gorilla/feeds.git,gorilla,feeds
SachinMali/acs-aem-commons,https://github.com/SachinMali/acs-aem-commons.git,SachinMali,acs-aem-commons
danielfarrell/gatsby,https://github.com/danielfarrell/gatsby.git,danielfarrell,gatsby
svemaraju/svemaraju.github.io,https://github.com/svemaraju/svemaraju.github.io.git,svemaraju,svemaraju.github.io
johnbelamaric/coredns,https://github.com/johnbelamaric/coredns.git,johnbelamaric,coredns
idehub/react-native-google-analytics-bridge,https://github.com/idehub/react-native-google-analytics-bridge.git,idehub,react-native-google-analytics-bridge
LinioIT/database,https://github.com/LinioIT/database.git,LinioIT,database
kazoompa/agate,https://github.com/kazoompa/agate.git,kazoompa,agate
ssbc/emoji-server,https://github.com/ssbc/emoji-server.git,ssbc,emoji-server
db-migrate/node-db-migrate,https://github.com/db-migrate/node-db-migrate.git,db-migrate,node-db-migrate
PowerShell/xHyper-V,https://github.com/PowerShell/xHyper-V.git,PowerShell,xHyper-V
dunkinnear/dunkinnear.github.io,https://github.com/dunkinnear/dunkinnear.github.io.git,dunkinnear,dunkinnear.github.io
Ikulagin/ikulagin.github.io,https://github.com/Ikulagin/ikulagin.github.io.git,Ikulagin,ikulagin.github.io
benbalter/jekyll-avatar,https://github.com/benbalter/jekyll-avatar.git,benbalter,jekyll-avatar
openatx/uiautomator2,https://github.com/openatx/uiautomator2.git,openatx,uiautomator2
apache/beam,https://github.com/apache/beam.git,apache,beam
lc-soft/LCUI,https://github.com/lc-soft/LCUI.git,lc-soft,LCUI
mikedeboer/node-github,https://github.com/mikedeboer/node-github.git,mikedeboer,node-github
exercism/xdelphi,https://github.com/exercism/xdelphi.git,exercism,xdelphi
rti/vimb,https://github.com/rti/vimb.git,rti,vimb
robohack/homebrew-core,https://github.com/robohack/homebrew-core.git,robohack,homebrew-core
knnniggett/ZoneMinder,https://github.com/knnniggett/ZoneMinder.git,knnniggett,ZoneMinder
LesliePajuelo/LesliePajuelo.github.io,https://github.com/LesliePajuelo/LesliePajuelo.github.io.git,LesliePajuelo,LesliePajuelo.github.io
PyGithub/PyGithub,https://github.com/PyGithub/PyGithub.git,PyGithub,PyGithub
Vel0x/vel0x.github.io,https://github.com/Vel0x/vel0x.github.io.git,Vel0x,vel0x.github.io
nbari/homebrew-core,https://github.com/nbari/homebrew-core.git,nbari,homebrew-core
Homebrew/homebrew-bundle,https://github.com/Homebrew/homebrew-bundle.git,Homebrew,homebrew-bundle
PowerShell/xRobocopy,https://github.com/PowerShell/xRobocopy.git,PowerShell,xRobocopy
hanxue/linuxbrew,https://github.com/hanxue/linuxbrew.git,hanxue,linuxbrew
BrewTestBot/homebrew-core,https://github.com/BrewTestBot/homebrew-core.git,BrewTestBot,homebrew-core
Timer/create-react-app,https://github.com/Timer/create-react-app.git,Timer,create-react-app
neilLasrado/erpnext,https://github.com/neilLasrado/erpnext.git,neilLasrado,erpnext
zmwangx/homebrew-core,https://github.com/zmwangx/homebrew-core.git,zmwangx,homebrew-core
babel/babel-preset-env,https://github.com/babel/babel-preset-env.git,babel,babel-preset-env
arthurchipdean/xecmascript,https://github.com/arthurchipdean/xecmascript.git,arthurchipdean,xecmascript
nemisj/sequelize,https://github.com/nemisj/sequelize.git,nemisj,sequelize
nilaydshah/azure-quickstart-templates,https://github.com/nilaydshah/azure-quickstart-templates.git,nilaydshah,azure-quickstart-templates
SVProgressHUD/SVProgressHUD,https://github.com/SVProgressHUD/SVProgressHUD.git,SVProgressHUD,SVProgressHUD
johlju/xSQLServer,https://github.com/johlju/xSQLServer.git,johlju,xSQLServer
madawas/carbon-device-mgt,https://github.com/madawas/carbon-device-mgt.git,madawas,carbon-device-mgt
odedniv/rails,https://github.com/odedniv/rails.git,odedniv,rails
ssbc/ssb-search,https://github.com/ssbc/ssb-search.git,ssbc,ssb-search
mcgill-robotics/Firmware,https://github.com/mcgill-robotics/Firmware.git,mcgill-robotics,Firmware
arunimachaudhary/arunimachaudhary.github.io,https://github.com/arunimachaudhary/arunimachaudhary.github.io.git,arunimachaudhary,arunimachaudhary.github.io
ceyhuno/react-native-navigation,https://github.com/ceyhuno/react-native-navigation.git,ceyhuno,react-native-navigation
ocadotechnology/aimmo,https://github.com/ocadotechnology/aimmo.git,ocadotechnology,aimmo
Laravel-Backpack/base,https://github.com/Laravel-Backpack/base.git,Laravel-Backpack,base
auth0-extensions/auth0-user-invite-extension,https://github.com/auth0-extensions/auth0-user-invite-extension.git,auth0-extensions,auth0-user-invite-extension
crewjam/saml,https://github.com/crewjam/saml.git,crewjam,saml
ssbc/ssb-names,https://github.com/ssbc/ssb-names.git,ssbc,ssb-names
wolfthefallen/king-phisher-plugins,https://github.com/wolfthefallen/king-phisher-plugins.git,wolfthefallen,king-phisher-plugins
prebid/Prebid.js,https://github.com/prebid/Prebid.js.git,prebid,Prebid.js
PowerShell/DscResources,https://github.com/PowerShell/DscResources.git,PowerShell,DscResources
feross/standard,https://github.com/feross/standard.git,feross,standard
imolorhe/altair,https://github.com/imolorhe/altair.git,imolorhe,altair
AdmiringWorm/Faker.NET.Portable,https://github.com/AdmiringWorm/Faker.NET.Portable.git,AdmiringWorm,Faker.NET.Portable
Insti/xruby,https://github.com/Insti/xruby.git,Insti,xruby
RaptorRCX/exercism.io,https://github.com/RaptorRCX/exercism.io.git,RaptorRCX,exercism.io
basecamp/trix,https://github.com/basecamp/trix.git,basecamp,trix
probot/stale,https://github.com/probot/stale.git,probot,stale
ssbc/ssb-testnet,https://github.com/ssbc/ssb-testnet.git,ssbc,ssb-testnet
PhrozenByte/Pico,https://github.com/PhrozenByte/Pico.git,PhrozenByte,Pico
MSP-Greg/rails,https://github.com/MSP-Greg/rails.git,MSP-Greg,rails
gumgum/Prebid.js,https://github.com/gumgum/Prebid.js.git,gumgum,Prebid.js
moonlight-stream/moonlight-android,https://github.com/moonlight-stream/moonlight-android.git,moonlight-stream,moonlight-android
lesserwhirls/lesserwhirls.github.io,https://github.com/lesserwhirls/lesserwhirls.github.io.git,lesserwhirls,lesserwhirls.github.io
SpoonX/wetland,https://github.com/SpoonX/wetland.git,SpoonX,wetland
Insti/exercism-ruby,https://github.com/Insti/exercism-ruby.git,Insti,exercism-ruby
MyEtherWallet/MyEtherWallet,https://github.com/MyEtherWallet/MyEtherWallet.git,MyEtherWallet,MyEtherWallet
pages-themes/hacker,https://github.com/pages-themes/hacker.git,pages-themes,hacker
obiba/agate,https://github.com/obiba/agate.git,obiba,agate
Homebrew/brew,https://github.com/Homebrew/brew.git,Homebrew,brew
claui/brew,https://github.com/claui/brew.git,claui,brew
DanSnow/vue-recaptcha,https://github.com/DanSnow/vue-recaptcha.git,DanSnow,vue-recaptcha
TomEvin/librenms,https://github.com/TomEvin/librenms.git,TomEvin,librenms
phpmyadmin/shapefile,https://github.com/phpmyadmin/shapefile.git,phpmyadmin,shapefile
webtorrent/webtorrent,https://github.com/webtorrent/webtorrent.git,webtorrent,webtorrent
wireload/screenly-ose,https://github.com/wireload/screenly-ose.git,wireload,screenly-ose
maliceio/malice,https://github.com/maliceio/malice.git,maliceio,malice
hakanensari/vacuum,https://github.com/hakanensari/vacuum.git,hakanensari,vacuum
wordpress-mobile/WordPress-iOS,https://github.com/wordpress-mobile/WordPress-iOS.git,wordpress-mobile,WordPress-iOS
CherrySquid/CherrySquid.github.io,https://github.com/CherrySquid/CherrySquid.github.io.git,CherrySquid,CherrySquid.github.io
PowerShell/xComputerManagement,https://github.com/PowerShell/xComputerManagement.git,PowerShell,xComputerManagement
charlesccychen/beam,https://github.com/charlesccychen/beam.git,charlesccychen,beam
mauron85/react-native-background-geolocation,https://github.com/mauron85/react-native-background-geolocation.git,mauron85,react-native-background-geolocation
grugnog/charts,https://github.com/grugnog/charts.git,grugnog,charts
rasika90/carbon-device-mgt,https://github.com/rasika90/carbon-device-mgt.git,rasika90,carbon-device-mgt
website-scraper/node-website-scraper,https://github.com/website-scraper/node-website-scraper.git,website-scraper,node-website-scraper
